date,gas_price,predicted_mean
2022-11-16,5.88,5.363825006055593
2022-11-17,6.2,5.36382159516707
2022-11-18,6.1,5.3638194915870265
2022-11-21,6.23,5.363818194256823
2022-11-22,6.27,5.363817394160433
2022-11-23,6.57,5.363816900720985
2022-11-25,6.57,5.363816596404466
2022-11-28,6.0,5.363816408724826
2022-11-29,6.03,5.363816292978081
2022-11-30,7.0,5.3638162215941545
2022-12-01,6.33,5.363816177569895
2022-12-02,4.92,5.363816150419028
2022-12-05,4.15,5.363816133674407
2022-12-06,4.58,5.363816123347578
2022-12-07,4.49,5.3638161169787635
2022-12-08,4.79,5.363816113050955
2022-12-09,4.98,5.363816110628577
2022-12-12,6.73,5.363816109134636
2022-12-13,7.2,5.363816108213285
2022-12-14,6.54,5.363816107645065
2022-12-15,6.8,5.363816107294629
2022-12-16,6.63,5.363816107078507
2022-12-19,6.08,5.363816106945219
2022-12-20,5.28,5.363816106863017
2022-12-21,6.13,5.363816106812321
2022-12-22,7.1,5.363816106781055
2022-12-23,7.15,5.363816106761773
2022-12-27,4.88,5.363816106749881
2022-12-28,4.06,5.363816106742547
2022-12-29,3.78,5.363816106738024
2022-12-30,3.52,5.363816106735234
2023-01-03,3.64,5.3638161067335135
2023-01-04,3.75,5.363816106732452
2023-01-05,3.78,5.3638161067317975
2023-01-06,3.43,5.363816106731394
2023-01-09,3.65,5.363816106731146
2023-01-10,3.32,5.363816106730992
2023-01-11,3.41,5.363816106730897
2023-01-12,3.47,5.363816106730838
2023-01-13,3.43,5.363816106730802
2023-01-17,3.43,5.36381610673078
2023-01-18,3.2,5.363816106730766
2023-01-19,2.91,5.3638161067307575
2023-01-20,3.15,5.363816106730752
2023-01-23,3.43,5.363816106730749
2023-01-24,3.35,5.363825006055593
2023-01-25,3.09,5.36382159516707
2023-01-26,2.72,5.3638194915870265
2023-01-27,2.83,5.363818194256823
2023-01-30,2.82,5.363817394160433
2023-01-31,2.65,5.363816900720985
2023-02-01,2.65,5.363816596404466
2023-02-02,2.67,5.363816408724826
2023-02-03,2.4,5.363816292978081
2023-02-06,2.17,5.3638162215941545
2023-02-07,2.35,5.363816177569895
2023-02-08,2.4,5.363816150419028
2023-02-09,2.4,5.363816133674407
2023-02-10,2.37,5.363816123347578
2023-02-13,2.42,5.3638161169787635
2023-02-14,2.42,5.363816113050955
2023-02-15,2.45,5.363816110628577
2023-02-16,2.48,5.363816109134636
2023-02-17,2.28,5.363816108213285
2023-02-21,2.12,5.363816107645065
2023-02-22,2.07,5.363816107294629
